title,description,rating,releaseDate,duration,genre
Movie 68,This is the description of movie 68,8.6,1998,2h 28m,Drama
Movie 69,This is the description of movie 69,8.0,1999,3h 29m,Drama
Movie 70,This is the description of movie 70,8.2,2000,2h 30m,Drama
Movie 71,This is the description of movie 71,8.8,2001,3h 31m,Drama
Movie 72,This is the description of movie 72,8.2,2002,2h 32m,Drama
Movie 73,This is the description of movie 73,9.9,2003,3h 33m,Drama
Movie 74,This is the description of movie 74,9.0,2004,2h 34m,Drama
Movie 75,This is the description of movie 75,9.4,2005,3h 35m,Drama
Movie 76,This is the description of movie 76,8.3,2006,2h 36m,Drama
Movie 77,This is the description of movie 77,8.9,2007,3h 37m,Drama
Movie 78,This is the description of movie 78,8.4,2008,2h 38m,Drama
Movie 79,This is the description of movie 79,10.0,2009,3h 39m,Drama
Movie 80,This is the description of movie 80,9.7,2010,2h 40m,Drama
Movie 81,This is the description of movie 81,9.6,2011,3h 41m,Drama
Movie 82,This is the description of movie 82,9.6,2012,2h 42m,Drama
Movie 83,This is the description of movie 83,9.2,2013,3h 43m,Drama
Movie 84,This is the description of movie 84,8.8,2014,2h 44m,Drama
Movie 85,This is the description of movie 85,9.3,2015,3h 45m,Drama
Movie 86,This is the description of movie 86,8.5,2016,2h 46m,Drama
Movie 87,This is the description of movie 87,8.1,2017,3h 47m,Drama
Movie 88,This is the description of movie 88,8.1,2018,2h 48m,Drama
Movie 89,This is the description of movie 89,9.6,2019,3h 49m,Drama
Movie 90,This is the description of movie 90,8.6,1990,2h 50m,Drama
Movie 91,This is the description of movie 91,8.9,1991,3h 51m,Drama
Movie 92,This is the description of movie 92,8.4,1992,2h 52m,Drama
Movie 93,This is the description of movie 93,9.6,1993,3h 53m,Drama
Movie 94,This is the description of movie 94,9.3,1994,2h 54m,Drama
Movie 95,This is the description of movie 95,9.4,1995,3h 55m,Drama
Movie 96,This is the description of movie 96,9.8,1996,2h 56m,Drama
Movie 97,This is the description of movie 97,9.8,1997,3h 57m,Drama
Movie 98,This is the description of movie 98,8.6,1998,2h 58m,Drama
Movie 99,This is the description of movie 99,8.8,1999,3h 59m,Drama
Movie 100,This is the description of movie 100,9.0,2000,2h 10m,Drama
Movie 101,This is the description of movie 101,9.2,2001,3h 11m,Drama
Movie 102,This is the description of movie 102,8.1,2002,2h 12m,Drama
Movie 103,This is the description of movie 103,8.1,2003,3h 13m,Drama
Movie 104,This is the description of movie 104,8.0,2004,2h 14m,Drama
Movie 105,This is the description of movie 105,9.1,2005,3h 15m,Drama
Movie 106,This is the description of movie 106,9.4,2006,2h 16m,Drama
Movie 107,This is the description of movie 107,9.5,2007,3h 17m,Drama
Movie 108,This is the description of movie 108,10.0,2008,2h 18m,Drama
Movie 109,This is the description of movie 109,9.6,2009,3h 19m,Drama
Movie 110,This is the description of movie 110,8.8,2010,2h 20m,Drama
Movie 111,This is the description of movie 111,9.7,2011,3h 21m,Drama
Movie 112,This is the description of movie 112,8.4,2012,2h 22m,Drama
Movie 113,This is the description of movie 113,8.6,2013,3h 23m,Drama
Movie 114,This is the description of movie 114,9.4,2014,2h 24m,Drama
Movie 115,This is the description of movie 115,8.1,2015,3h 25m,Drama
Movie 116,This is the description of movie 116,8.9,2016,2h 26m,Drama
Movie 117,This is the description of movie 117,8.9,2017,3h 27m,Drama
Movie 118,This is the description of movie 118,8.5,2018,2h 28m,Drama
Movie 119,This is the description of movie 119,9.6,2019,3h 29m,Drama
Movie 120,This is the description of movie 120,8.6,1990,2h 30m,Drama
Movie 121,This is the description of movie 121,8.2,1991,3h 31m,Drama
Movie 122,This is the description of movie 122,9.2,1992,2h 32m,Drama
Movie 123,This is the description of movie 123,9.7,1993,3h 33m,Drama
Movie 124,This is the description of movie 124,8.0,1994,2h 34m,Drama
Movie 125,This is the description of movie 125,8.9,1995,3h 35m,Drama
Movie 126,This is the description of movie 126,8.2,1996,2h 36m,Drama
Movie 127,This is the description of movie 127,9.5,1997,3h 37m,Drama
Movie 128,This is the description of movie 128,9.7,1998,2h 38m,Drama
Movie 129,This is the description of movie 129,8.7,1999,3h 39m,Drama
Movie 130,This is the description of movie 130,8.5,2000,2h 40m,Drama
Movie 131,This is the description of movie 131,9.8,2001,3h 41m,Drama
Movie 132,This is the description of movie 132,8.6,2002,2h 42m,Drama
Movie 133,This is the description of movie 133,8.7,2003,3h 43m,Drama
Movie 134,This is the description of movie 134,9.8,2004,2h 44m,Drama
Movie 135,This is the description of movie 135,8.3,2005,3h 45m,Drama
Movie 136,This is the description of movie 136,8.7,2006,2h 46m,Drama
Movie 137,This is the description of movie 137,9.4,2007,3h 47m,Drama
Movie 138,This is the description of movie 138,8.3,2008,2h 48m,Drama
Movie 139,This is the description of movie 139,9.8,2009,3h 49m,Drama
Movie 140,This is the description of movie 140,9.9,2010,2h 50m,Drama
Movie 141,This is the description of movie 141,9.3,2011,3h 51m,Drama
Movie 142,This is the description of movie 142,8.8,2012,2h 52m,Drama
Movie 143,This is the description of movie 143,8.1,2013,3h 53m,Drama
Movie 144,This is the description of movie 144,9.6,2014,2h 54m,Drama
Movie 145,This is the description of movie 145,9.2,2015,3h 55m,Drama
Movie 146,This is the description of movie 146,8.2,2016,2h 56m,Drama
Movie 147,This is the description of movie 147,9.5,2017,3h 57m,Drama
Movie 148,This is the description of movie 148,9.3,2018,2h 58m,Drama
Movie 149,This is the description of movie 149,9.5,2019,3h 59m,Drama
Movie 150,This is the description of movie 150,8.7,1990,2h 10m,Drama
Movie 151,This is the description of movie 151,8.2,1991,3h 11m,Drama
Movie 152,This is the description of movie 152,9.5,1992,2h 12m,Drama
Movie 153,This is the description of movie 153,8.6,1993,3h 13m,Drama
Movie 154,This is the description of movie 154,9.5,1994,2h 14m,Drama
Movie 155,This is the description of movie 155,8.4,1995,3h 15m,Drama
Movie 156,This is the description of movie 156,8.0,1996,2h 16m,Drama
Movie 157,This is the description of movie 157,10.0,1997,3h 17m,Drama
Movie 158,This is the description of movie 158,8.5,1998,2h 18m,Drama
Movie 159,This is the description of movie 159,9.3,1999,3h 19m,Drama
Movie 160,This is the description of movie 160,8.8,2000,2h 20m,Drama
Movie 161,This is the description of movie 161,8.8,2001,3h 21m,Drama
Movie 162,This is the description of movie 162,9.1,2002,2h 22m,Drama
Movie 163,This is the description of movie 163,9.9,2003,3h 23m,Drama
Movie 164,This is the description of movie 164,8.4,2004,2h 24m,Drama
Movie 165,This is the description of movie 165,8.3,2005,3h 25m,Drama
Movie 166,This is the description of movie 166,9.6,2006,2h 26m,Drama
Movie 167,This is the description of movie 167,9.8,2007,3h 27m,Drama
Movie 168,This is the description of movie 168,9.5,2008,2h 28m,Drama
Movie 169,This is the description of movie 169,8.6,2009,3h 29m,Drama
Movie 170,This is the description of movie 170,9.1,2010,2h 30m,Drama
Movie 171,This is the description of movie 171,9.6,2011,3h 31m,Drama
Movie 172,This is the description of movie 172,9.1,2012,2h 32m,Drama
Movie 173,This is the description of movie 173,9.1,2013,3h 33m,Drama
Movie 174,This is the description of movie 174,9.4,2014,2h 34m,Drama
Movie 175,This is the description of movie 175,9.4,2015,3h 35m,Drama
Movie 176,This is the description of movie 176,9.9,2016,2h 36m,Drama
Movie 177,This is the description of movie 177,8.4,2017,3h 37m,Drama
Movie 178,This is the description of movie 178,8.8,2018,2h 38m,Drama
Movie 179,This is the description of movie 179,9.8,2019,3h 39m,Drama
Movie 180,This is the description of movie 180,8.6,1990,2h 40m,Drama
Movie 181,This is the description of movie 181,9.9,1991,3h 41m,Drama
Movie 182,This is the description of movie 182,8.4,1992,2h 42m,Drama
Movie 183,This is the description of movie 183,9.6,1993,3h 43m,Drama
Movie 184,This is the description of movie 184,9.3,1994,2h 44m,Drama
Movie 185,This is the description of movie 185,9.5,1995,3h 45m,Drama
Movie 186,This is the description of movie 186,9.3,1996,2h 46m,Drama
Movie 187,This is the description of movie 187,9.4,1997,3h 47m,Drama
Movie 188,This is the description of movie 188,8.3,1998,2h 48m,Drama
Movie 189,This is the description of movie 189,8.2,1999,3h 49m,Drama
Movie 190,This is the description of movie 190,10.0,2000,2h 50m,Drama
Movie 191,This is the description of movie 191,9.1,2001,3h 51m,Drama
Movie 192,This is the description of movie 192,8.2,2002,2h 52m,Drama
Movie 193,This is the description of movie 193,9.8,2003,3h 53m,Drama
Movie 194,This is the description of movie 194,8.6,2004,2h 54m,Drama
Movie 195,This is the description of movie 195,8.5,2005,3h 55m,Drama
Movie 196,This is the description of movie 196,9.4,2006,2h 56m,Drama
Movie 197,This is the description of movie 197,9.7,2007,3h 57m,Drama
Movie 198,This is the description of movie 198,8.5,2008,2h 58m,Drama
Movie 199,This is the description of movie 199,8.7,2009,3h 59m,Drama
Movie 200,This is the description of movie 200,9.4,2010,2h 10m,Drama
Movie 201,This is the description of movie 201,9.2,2011,3h 11m,Drama
Movie 202,This is the description of movie 202,10.0,2012,2h 12m,Drama
Movie 203,This is the description of movie 203,8.6,2013,3h 13m,Drama
Movie 204,This is the description of movie 204,9.3,2014,2h 14m,Drama
Movie 205,This is the description of movie 205,8.4,2015,3h 15m,Drama
Movie 206,This is the description of movie 206,8.3,2016,2h 16m,Drama
Movie 207,This is the description of movie 207,9.1,2017,3h 17m,Drama
Movie 208,This is the description of movie 208,8.8,2018,2h 18m,Drama
Movie 209,This is the description of movie 209,9.7,2019,3h 19m,Drama
Movie 210,This is the description of movie 210,8.6,1990,2h 20m,Drama
Movie 211,This is the description of movie 211,9.4,1991,3h 21m,Drama
Movie 212,This is the description of movie 212,8.0,1992,2h 22m,Drama
Movie 213,This is the description of movie 213,8.1,1993,3h 23m,Drama
Movie 214,This is the description of movie 214,8.5,1994,2h 24m,Drama
Movie 215,This is the description of movie 215,8.2,1995,3h 25m,Drama
Movie 216,This is the description of movie 216,9.9,1996,2h 26m,Drama
Movie 217,This is the description of movie 217,10.0,1997,3h 27m,Drama
Movie 218,This is the description of movie 218,9.7,1998,2h 28m,Drama
Movie 219,This is the description of movie 219,9.0,1999,3h 29m,Drama
Movie 220,This is the description of movie 220,9.7,2000,2h 30m,Drama
Movie 221,This is the description of movie 221,9.7,2001,3h 31m,Drama
Movie 222,This is the description of movie 222,8.5,2002,2h 32m,Drama
Movie 223,This is the description of movie 223,8.1,2003,3h 33m,Drama
Movie 224,This is the description of movie 224,10.0,2004,2h 34m,Drama
Movie 225,This is the description of movie 225,9.5,2005,3h 35m,Drama
Movie 226,This is the description of movie 226,8.8,2006,2h 36m,Drama
Movie 227,This is the description of movie 227,9.7,2007,3h 37m,Drama
Movie 228,This is the description of movie 228,8.8,2008,2h 38m,Drama
Movie 229,This is the description of movie 229,9.0,2009,3h 39m,Drama
Movie 230,This is the description of movie 230,9.3,2010,2h 40m,Drama
Movie 231,This is the description of movie 231,9.3,2011,3h 41m,Drama
Movie 232,This is the description of movie 232,8.2,2012,2h 42m,Drama
Movie 233,This is the description of movie 233,8.6,2013,3h 43m,Drama
Movie 234,This is the description of movie 234,8.6,2014,2h 44m,Drama
Movie 235,This is the description of movie 235,9.1,2015,3h 45m,Drama
Movie 236,This is the description of movie 236,8.4,2016,2h 46m,Drama
Movie 237,This is the description of movie 237,8.1,2017,3h 47m,Drama
Movie 238,This is the description of movie 238,8.1,2018,2h 48m,Drama
Movie 239,This is the description of movie 239,8.7,2019,3h 49m,Drama
Movie 240,This is the description of movie 240,8.1,1990,2h 50m,Drama
Movie 241,This is the description of movie 241,8.3,1991,3h 51m,Drama
Movie 242,This is the description of movie 242,9.4,1992,2h 52m,Drama
Movie 243,This is the description of movie 243,8.9,1993,3h 53m,Drama
Movie 244,This is the description of movie 244,8.7,1994,2h 54m,Drama
Movie 245,This is the description of movie 245,9.0,1995,3h 55m,Drama
Movie 246,This is the description of movie 246,9.2,1996,2h 56m,Drama
Movie 247,This is the description of movie 247,8.5,1997,3h 57m,Drama
Movie 248,This is the description of movie 248,8.6,1998,2h 58m,Drama
Movie 249,This is the description of movie 249,8.1,1999,3h 59m,Drama
Movie 250,This is the description of movie 250,8.5,2000,2h 10m,Drama
